1,Acero,0.046
3,Acero remachado,0.9
4,Asbesto cemento,0.025
5,Arcilla vitrificada,0.15
6,Concreto,0.3
7,Hierro Dúctil,0.25
8,Hierro Fundido,0.25
9,Hierro Fundido Asfaltado,0.12
10,Hierro Galvanizado,0.15
11,Madera,0.18
12,Plomo,0.0015
13,PVC,0.0015
14,Vidrio,0.0003
15,Otros,0
