1,Agua (0°C),1.79E-06,1.79e-06
2,Agua (5°C),1.52E-06,1.52e-06
3,Agua (10°C),1.31E-06,1.31e-06
4,Agua (15°C),1.14E-06,1.41e-06
5,Agua (20°C),1.01E-06,1.01e-06
6,Agua (25°C),8.97E-07,9e-07
7,Gasolina (18°C),6.50E-07,6.5e-07
8,Alcohol anhidro (18°C),1.33E-06,1.33e-06
9,Petroleo ligero (18°C),2.50E-05,2.5e-05
10,Petroleo pesado (18°C),140E-04,0.00014
11,Aceite lubricante (20°C),1.72E-04,0.000172
12,Glicerina (20°C),1.14E-03,0.00114
13,Otros,0,0
